"baseMean","log2FoldChange","lfcSE","pvalue","padj","Significant","ensembl_gene_id","diffexpressed","stat","external_gene_name","description","gene_biotype","start_position","end_position","chromosome_name"
68.9440919643214,1.99678382509049,0.55729838834102,1.37122986388584e-05,0.000853508316477102,TRUE,"ENSMUSG00000000402","Upregulated",3.58297075115284,"Egfl6","EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]","protein_coding",165306003,165368716,"X"
140.293257463653,1.44793378947793,0.407374410705076,1.73265227368825e-05,0.00103699238580242,TRUE,"ENSMUSG00000000983","Upregulated",3.55430717155718,"Wfdc18","WAP four-disulfide core domain 18 [Source:MGI Symbol;Acc:MGI:107506]","protein_coding",83599841,83602174,"11"
82.1883890758543,3.35712669870616,0.916106026520664,8.40626747270603e-06,0.000586591606021429,TRUE,"ENSMUSG00000001095","Upregulated",3.6645613078831,"Slc13a2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]","protein_coding",78287913,78313043,"11"
424.899967677686,1.05250458076564,0.588301619162031,0.00237130330470684,0.0400649845000469,TRUE,"ENSMUSG00000001494","Upregulated",1.78905606662245,"Sost","sclerostin [Source:MGI Symbol;Acc:MGI:1921749]","protein_coding",101853284,101857841,"11"
354.724582092366,1.02259958959,0.241615294325863,1.41862786974968e-06,0.000125427660688493,TRUE,"ENSMUSG00000001508","Upregulated",4.23234626948256,"Sgca","sarcoglycan, alpha (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:894698]","protein_coding",94853617,94867153,"11"
2075.9645858045,-1.05122668972228,0.414355317778886,0.000492994099901829,0.0133417064149085,TRUE,"ENSMUSG00000001700","Downregulated",-2.5370174934819,"Gramd2b","GRAM domain containing 2B [Source:MGI Symbol;Acc:MGI:1914815]","protein_coding",56533409,56636864,"18"
262.629420933647,-1.47542895827998,0.360612790133865,2.06986889827277e-06,0.000177951546552611,TRUE,"ENSMUSG00000001986","Downregulated",-4.09144932916072,"Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]","protein_coding",40489731,40767478,"X"
535.63552636464,-1.26474864906912,0.239674852563266,7.0690683543249e-09,1.0784487515848e-06,TRUE,"ENSMUSG00000002083","Downregulated",-5.27693512916741,"Bbc3","BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]","protein_coding",16042318,16052130,"7"
71.4514424231742,1.31453672627365,0.490471722185363,0.000298162424407237,0.00935424493185688,TRUE,"ENSMUSG00000002104","Upregulated",2.68014783893464,"Rapsn","receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]","protein_coding",90865965,90876074,"2"
157.702681629733,1.30943705378243,0.352761909587999,1.00211278362719e-05,0.0006635692351499,TRUE,"ENSMUSG00000002228","Upregulated",3.71195704012307,"Ppm1j","protein phosphatase 1J [Source:MGI Symbol;Acc:MGI:1919137]","protein_coding",104688372,104693334,"3"
